NCT Number,Study Title,Study URL,Study Status,Brief Summary,Conditions,Interventions,Primary Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Start Date,Primary Completion Date,Locations
NCT00029536,Progesterone vs Placebo Therapy for Women With Epilepsy,https://clinicaltrials.gov/study/NCT00029536,COMPLETED,The purpose of this investigation was to determine if cyclic adjunctive progesterone supplement is superior to placebo in the treatment of intractable seizures in women with and without catamenial epilepsy.,Epilepsy,BIOLOGICAL: Progesterone Lozenges|OTHER: Matched Placebo Lozenges,"Percent of Women Who Show a Greater Than 50% Decline in Average Daily Seizure Frequency, Percent of women who show a greater than 50% decline in average daily seizure frequency, 9 years",Beth Israel Deaconess Medical Center,Brigham and Women's Hospital|Columbia University|Dartmouth-Hitchcock Medical Center|Emory University|Johns Hopkins University|Montreal Neurological Institute and Hospital|Ohio State University|Thomas Jefferson University|University of Maryland|University of Southern California|University of Virginia|Weill Medical College of Cornell University|Minnesota Comprehensive Epilepsy Program,FEMALE,"CHILD, ADULT",PHASE3,294,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",10/1/2000,2010-06,"University of Southern California, Keck School of Medicine, Los Angeles, California, 90033, United States|Emory University School of Medicine, Atlanta, Georgia, 30322, United States|University of Maryland, Baltimore, Maryland, 21201, United States|Johns Hopkins Bayview Medical Center; Johns Hopkins Hospital, Baltimore, Maryland, 21287, United States|Brigham and Women's Hospital, Boston, Massachusetts, 02115, United States|Beth Israel Deaconess Medical Center, Harvard Neuroendocrine Unit, Boston, Massachusetts, 02215, United States|Henry Ford Hospital, Detroit, Michigan, 48202, United States|MINCEP Epilepsy Care, Minneapolis, Minnesota, 55416, United States|Dartmouth-Hitchcock Medical Center, Lebanon, New Hampshire, 03756, United States|New York Presbyterian Hospital- Weill Medical College of Cornell University, Comprehensive Epilepsy Center, New York, New York, 10021, United States|Columbia Medical Center, New York, New York, 10032, United States|Ohio State University, Columbus, Ohio, 43210, United States|Thomas Jefferson University Hospital, Comprehensive Epilepsy Center, Philadelphia, Pennsylvania, 19107, United States|University of Virginia, Charlottesville, Virginia, 22908, United States|Montreal Neurological Institute, Montreal, Quebec, H3A 2B4, Canada"
NCT03467113,A Study to Assess the Safety and Tolerability of ZX008 in Children and Young Adults With Dravet Syndrome or Lennox Gastaut Syndrome Currently Taking Cannabidiol,https://clinicaltrials.gov/study/NCT03467113,COMPLETED,This is an open label study to evaluate the safety of ZX008 (fenfluramine) in patients with Dravet syndrome (DS) or Lennox Gastaut syndrome (LGS) who are being administered cannabidiol (CBD).,Dravet Syndrome|Lennox Gastaut Syndrome,DRUG: ZX008 0.2 to 0.8 mg/kg/day|DRUG: Cannabidiol,"Adverse Events, Number of adverse events including serious adverse events, number of adverse events leading to study withdrawal, Baseline to Day 365|Change in Heart Rate, Change in resting heart rate using standard measures, Baseline to Day 365|Change in blood pressure, Change in resting blood pressure using standard measures, Baseline to Day 365|Change in temperature, Change in resting temperature using standard measures, Baseline to Day 365|Change in respiratory rate, Change in resting respiratory rate using standard measures, Baseline to Day 365|Changes in heart rhythm, Changes in heart beat as measured with 12-lead electrocardiogram, Baseline to Day 365|Changes in heart valve function, Changes in heart valves as measured with standard echocardiogram, Baseline to Day 365|Changes in treatment-emergent body weight and height, Changes in body weight and height by report of BMI in kg/m\^2, Baseline to Day 365","Zogenix International Limited, Inc., a subsidiary of Zogenix, Inc.",,ALL,"CHILD, ADULT",PHASE1,9,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,1/19/2018,6/24/2020,"PANDA Neurology/CIRCA, Atlanta, Georgia, 30328, United States|MultiCare Institute for Research & Innovation, Tacoma, Washington, 98405, United States"
NCT04595513,Stopping TSC Onset and Progression 2: Epilepsy Prevention in TSC Infants,https://clinicaltrials.gov/study/NCT04595513,COMPLETED,This phase I/II clinical trial is an open-label clinical trial design to verify safety and dosing for TAVT-18 (sirolimus) powder for oral solution in TSC infants (N=5).,Tuberous Sclerosis Complex|Epilepsy,DRUG: TAVT-18 (sirolimus),"Safety - adverse events, Percentage of subjects reporting severe (CTCAE v5.0 grade \>= 3) adverse event (AE) or serious adverse event (SAE), 12 months of age|Efficacy - time to seizure onset, Time from treatment initiation to seizure onset, 12 months of age","Children's Hospital Medical Center, Cincinnati",,ALL,CHILD,PHASE1|PHASE2,5,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: PREVENTION,9/8/2020,12/15/2022,"Cincinnati Children's Hospital, Cincinnati, Ohio, 45229, United States"
NCT03371836,Use of Clobazam for Epilepsy and Anxiety,https://clinicaltrials.gov/study/NCT03371836,COMPLETED,"This study is an open label, adjunctive, proof of concept, pilot clinical trial. Pediatric patients with epilepsy and clinically significant anxiety will be recruited and if enrolled will receive active treatment, involving flexible dose titration of clobazam and will be monitored for a period of four months. The study will be monitored and overseen by the Johns Hopkins Hospital Institutional Review Board.",Epilepsy|Anxiety,DRUG: Clobazam,"CGI-I, Mean of Clinical Global Impression-Improvement from baseline. (1-7 point scale; lower score equals a better outcome; 1 is the maximum improvement, 7 is the minimum improvement), 14-18 weeks","Hugo W. Moser Research Institute at Kennedy Krieger, Inc.",,ALL,CHILD,PHASE4,20,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,10/1/2017,12/31/2019,"Kennedy Krieger Institute, Baltimore, Maryland, 21205, United States"
NCT04289467,Treatment of Refractory Infantile Spasms With Fenfluramine,https://clinicaltrials.gov/study/NCT04289467,RECRUITING,"This is a phase II clinical trial in which children with refractory infantile spasms (also called epileptic spasms or West syndrome) will be treated with fenfluramine, to evaluate efficacy, safety, and tolerability. Patients with infantile spasms that have not responded to treatment with vigabatrin and ACTH we will be invited to participate. Study participants will undergo baseline video-EEG, receive treatment with fenfluramine for 21 days, and then undergo repeat video-EEG to determine effectiveness. Patients with favorable response will have the opportunity to continue treatment for up to 6 months.",Infantile Spasm,DRUG: Fenfluramine,"Electroclinical response (Efficacy), Number of participants with resolution of epileptic spasms and hypsarrhythmia (if present at baseline) after 21 days of treatment, as determined by overnight video-electroencephalography (EEG) evaluation and caregiver seizure diary., 12 months",Children's Hospital of Orange County,,ALL,CHILD,PHASE2,10,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,6/16/2023,12/31/2024,"UCLA Health, Los Angeles, California, 90095, United States|Children's Hospital of Orange County, Orange, California, 92868, United States"
NCT02815540,The Effects of Cannabidiol (CBD) on Electrical and Autonomic Cardiac Function in Children With Severe Epilepsy,https://clinicaltrials.gov/study/NCT02815540,TERMINATED,"The investigators propose to study the effects of cannabidiol (CBD) on cardiac electrical function and the autonomic nervous system in children with Dravet syndrome (DS) and Lennox-Gastaut syndrome (LGS), when the CBD is administered as an artisanal oil obtained through state dispensaries or other sources. The intent is to begin to assess potential risks and benefits of this therapy in a vulnerable patient population by characterizing the effects of CBD on EKG findings, heart rate variability and the occurrence of seizures.",Lennox-Gastaut Syndrome|Dravet Syndrome,PROCEDURE: 12-Lead ECG|DRUG: Cannabidiol,"Holter SDNN Parameter Change, Change from baseline Holter SDNN parameter to follow up visit Holter SDNN parameter., Baseline to 4 to 8 week follow up visit",Gillette Children's Specialty Healthcare,,ALL,"CHILD, ADULT",PHASE1|PHASE2,2,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,2/16/2017,12/1/2018,"Gillette Children's Specialty Healthcare, Saint Paul, Minnesota, 55101, United States"
NCT05419492,A Clinical Study to Evaluate the Safety and Efficacy of ETX101 in Infants and Children With SCN1A-Positive Dravet Syndrome,https://clinicaltrials.gov/study/NCT05419492,RECRUITING,"ENDEAVOR is a Phase 1/2, 2-part, multicenter study to evaluate the safety and efficacy of ETX101 in participants with SCN1A-positive Dravet syndrome aged 6 to \<36 months. Part 1 follows an open-label, dose-escalation design, and Part 2 is a randomized, double-blind, sham delayed-treatment control, dose-selection study.",Dravet Syndrome,DRUG: ETX101,"Proportions of participants experiencing any treatment-emergent adverse events (AEs), serious adverse events (SAEs), related AEs, AEs with severity Grade ≥ 3, AEs resulting in study discontinuation, and AEs with a fatal outcome., Day 1 through Study Completion|Percent change in monthly countable seizure frequency (MCSF) period, with countable seizures defined as generalized tonic-clonic/clonic, focal motor with clearly observable clinical signs, tonic, or atonic seizures., Between the 8-week baseline period (prior to Day 1) and the 48-week post dosing period (defined as Week 5 through Week 52)",Encoded Therapeutics,,ALL,CHILD,PHASE1|PHASE2,22,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",4/1/2024,2027-04,"UCSF Benioff Children's Hospitals, San Francisco, California, 94158, United States|Cook Children's Medical Center, Fort Worth, Texas, 76104, United States"
NCT02107989,Noninvasive Pre-surgical Evaluation of Patients With Focal Epilepsy and Establishment of a Normative Imaging Database,https://clinicaltrials.gov/study/NCT02107989,RECRUITING,"Objectives:

The overall study objective is to compare the sensitivities and specificities of morphometric analysis techniques using structural MRI images based on pre- and postsurgical localization of epileptic foci in patients undergoing presurgical evaluation for medically refractory epilepsy. To carry out these analyses, we aim to establish an age-stratified normative imaging database using healthy volunteers. Additional objectives are to identify abnormal networks in these patients using resting state fMRI/EEG and MEG/EEG, and to use language and memory fMRI tasks to examine the effects of epileptogenic zones and surgery on cognitive function and the networks associated with these functions.

Study population:

300 adults and children (age 8 and older) with uncontrolled focal epilepsy, and 200 age-stratified healthy volunteers.

Design: A retrospective and prospective natural history study. Research procedures for patients in this study include neuropsychological testing and 1-4 MRI sessions during presurgical evaluation and an additional 1-3 MRI sessions and neuropsychological testing approximately 12 months post-operatively. Research testing (such as research neuropsychological tests or MRI scanning sequences) will be done during a visit for clinical testing whenever possible, likely reducing the number of required visits. Patients will also have optional MEG and 7T structural imaging. Data will also be obtained from patients who have already undergone epilepsy surgery if they had procedures as outlined in the protocol and are willing to share the data. Healthy volunteers will receive a subset of the pre-operative procedures for patients, requiring at least 3 visits. In order to ensure adequate data acquisition, subjects may be re-scanned up to three times for the portions of the study in which they participated, possibly requiring additional visits.

Outcome measures:

The main outcomes will be establishment of normative values for morphometric analysis methods in age-stratified normal controls, and comparison of the sensitivity and specificity of these measures to pre- and postsurgical localization of the epileptogenic zone. Secondary outcome measures will include determination of the sensitivity and specificity of source localization using MEG/EEG and resting state fMRI/EEG, and to evaluate changes in activation during rest, as well as language and memory fMRI tasks in patients pre- and postsurgically, to examine the effects of epileptogenic zones and surgery on cognitive function and the networks underlying these functions.",Epilepsy,DEVICE: MRI|DEVICE: MEG,"All outcomes in this study are Exploratory., All outcomes in this study are Exploratory., All outcomes in this study are Exploratory.",National Institute of Neurological Disorders and Stroke (NINDS),,ALL,"CHILD, ADULT, OLDER_ADULT",NA,500,NIH,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: DIAGNOSTIC,3/11/2014,3/30/2028,"National Institutes of Health Clinical Center, Bethesda, Maryland, 20892, United States"
NCT02235792,High Frequency Oscillations in Neurologic Disease,https://clinicaltrials.gov/study/NCT02235792,COMPLETED,This study is designed to evaluate the high-frequency range deep brain oscillations (HFO) as pathologic markers in patients undergoing deep brain stimulation for epilepsy or Parkinson disease. Newly developed technology allows for the chronic recording of these brain signals at the same time as clinical stimulation is occuring. We will learn both whether these HFO correlate with disease activity and whether the HFO change in response to ongoing stimulation (potentially giving insight into the underlying mechanism of action of DBS).,Parkinson|Epilepsy,DEVICE: Activa PC+S,"Degree of correlation of recorded neural signatures with disease severity as determined by regression analysis, Regression analysis will be performed using the measures of clinical disease severity as the independent variables and the various HFO measurement conditions/parameters as dependent variables.

HFO parameters to be analyzed will include: 1) total power within each recorded band and 2) frequency distribution as defined by the ratio of power within the higher HFO frequency band versus the lower HFO frequency band.

Clinical disease severity will be determined by: 1) Unified Parkinson's Disease Rating Scale (UPDRS III) score in each of the various conditions for Parkinson Disease (PD) subjects, 2) motor diaries linked with each visit for PD subjects, and 3) seizure counts from the 4 weeks of seizure diary preceding each visit for epilepsy subjects.

(Note: UPDRS is a rating scale used to follow the longitudinal course of Parkinson's disease. Part III is a clinician-scored monitored motor evaluation.), 26 weeks post deep brain stimulator implantation",Mayo Clinic,,ALL,"ADULT, OLDER_ADULT",PHASE1,7,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,7/1/2014,11/20/2020,"Mayo Clinic in Rochester, Rochester, Minnesota, 55905, United States"
NCT01931644,"At-Home Research Study for Patients With Autoimmune, Inflammatory, Genetic, Hematological, Infectious, Neurological, CNS, Oncological, Respiratory, Metabolic Conditions",https://clinicaltrials.gov/study/NCT01931644,COMPLETED,"We are the missing link in clinical trials, connecting patients and researchers seamlessly and conveniently using a mobile health platform to advance medical research. We make it easy for patients to contribute to research for medical conditions that matter most to them, regardless of their location or ability to travel.",All Diagnosed Health Conditions|ADD/ADHD|Alopecia Areata|Ankylosing Spondylitis|Asthma|Atopic Dermatitis Eczema|Beta Thalassemia|Bipolar Disorder|Breast Cancer|Celiac Disease|Cervical Cancer|Chronic Inflammatory Demyelinating Polyneuropathy|Chronic Kidney Diseases|Chronic Obstructive Pulmonary Disease|Colon Cancer|Colorectal Cancer|Crohn's Disease|Cystic Fibrosis|Depression|Diabetes Mellitus|Duchenne Muscular Dystrophy|Endometriosis|Epilepsy|Facioscapulohumeral Muscular Dystrophy|G6PD Deficiency|General Anxiety Disorder|Hepatitis B|Hereditary Hemorrhagic Telangiectasia|HIV/AIDS|Human Papilloma Virus|Huntington's Disease|Idiopathic Thrombocytopenic Purpura|Insomnia|Kidney Cancer|Leukemia|Lung Cancer|Lupus Nephritis|Lymphoma|Melanoma|Multiple Myeloma|Multiple Sclerosis|Myositis|Myotonic Dystrophy|Ovarian Cancer|Pancreatic Cancer|Parkinson's Disease|Polycystic Kidney Diseases|Prostate Cancer|Psoriasis|Psoriatic Arthritis|Rosacea|Scleroderma|Sickle Cell Anemia|Sickle Cell Trait|Sjogren's Syndrome|Skin Cancer|Spinal Muscular Atrophy|Systemic Lupus Erythematosus|Thrombotic Thrombocytopenic Purpura|Trisomy 21|Ulcerative Colitis,,"Biospecimen & Clinical Data Collection, To collect enough biospecimens and associated clinical data to allow researchers to come to statistically relevant scientific results, 10 years",Sanguine Biosciences,,ALL,"ADULT, OLDER_ADULT",,17667,INDUSTRY,OBSERVATIONAL,Observational Model: |Time Perspective: p,7/1/2013,2024-04,"Sanguine Biosciences, Los Angeles, California, 91403, United States"
